d,t1,t2,s1,s2,win1,win2
Thursday 23 March 2023,Kazakhstan,Slovenia,1,2,FALSE,TRUE
Thursday 23 March 2023,Italy,England,1,2,FALSE,TRUE
Thursday 23 March 2023,North Macedonia,Malta,2,1,TRUE,FALSE
Thursday 23 March 2023,Denmark,Finland,3,1,TRUE,FALSE
Thursday 23 March 2023,San Marino,Northern Ireland,0,2,FALSE,TRUE
Thursday 23 March 2023,Portugal,Liechtenstein,4,0,TRUE,FALSE
Thursday 23 March 2023,Slovakia,Luxembourg,0,0,FALSE,FALSE
Thursday 23 March 2023,Bosnia and Herzegovina,Iceland,3,0,TRUE,FALSE
Friday 24 March 2023,Bulgaria,Montenegro,0,1,FALSE,TRUE
Friday 24 March 2023,France,Netherlands,4,0,TRUE,FALSE
Friday 24 March 2023,Gibraltar,Greece,0,3,FALSE,TRUE
Friday 24 March 2023,Czechia,Poland,3,1,TRUE,FALSE
Friday 24 March 2023,Moldova,Faroe Islands,1,1,FALSE,FALSE
Friday 24 March 2023,Sweden,Belgium,0,3,FALSE,TRUE
Friday 24 March 2023,Austria,Azerbaijan,4,1,TRUE,FALSE
Friday 24 March 2023,Serbia,Lithuania,2,0,TRUE,FALSE
Saturday 25 March 2023,Scotland,Cyprus,3,0,TRUE,FALSE
Saturday 25 March 2023,Armenia,Turkiye,1,2,FALSE,TRUE
Saturday 25 March 2023,Belarus,Switzerland,0,5,FALSE,TRUE
Saturday 25 March 2023,Israel,Kosovo,1,1,FALSE,FALSE
Saturday 25 March 2023,Spain,Norway,3,0,TRUE,FALSE
Saturday 25 March 2023,Croatia,Wales,1,1,FALSE,FALSE
Saturday 25 March 2023,Andorra,Romania,0,2,FALSE,TRUE
Sunday 26 March 2023,Kazakhstan,Denmark,3,2,TRUE,FALSE
Sunday 26 March 2023,England,Ukraine,2,0,TRUE,FALSE
Sunday 26 March 2023,Slovenia,San Marino,2,0,TRUE,FALSE
Sunday 26 March 2023,Liechtenstein,Iceland,0,7,FALSE,TRUE
Sunday 26 March 2023,Malta,Italy,0,2,FALSE,TRUE
Sunday 26 March 2023,Northern Ireland,Finland,0,1,FALSE,TRUE
Sunday 26 March 2023,Slovakia,Bosnia and Herzegovina,2,0,TRUE,FALSE
Sunday 26 March 2023,Luxembourg,Portugal,0,6,FALSE,TRUE
Monday 27 March 2023,Netherlands,Gibraltar,3,0,TRUE,FALSE
Monday 27 March 2023,Republic of Ireland,France,0,1,FALSE,TRUE
Monday 27 March 2023,Poland,Albania,1,0,TRUE,FALSE
Monday 27 March 2023,Moldova,Czechia,0,0,FALSE,FALSE
Monday 27 March 2023,Sweden,Azerbaijan,5,0,TRUE,FALSE
Monday 27 March 2023,Austria,Estonia,2,1,TRUE,FALSE
Monday 27 March 2023,Hungary,Bulgaria,3,0,TRUE,FALSE
Monday 27 March 2023,Montenegro,Serbia,0,2,FALSE,TRUE
Tuesday 28 March 2023,Georgia,Norway,1,1,FALSE,FALSE
Tuesday 28 March 2023,Scotland,Spain,2,0,TRUE,FALSE
Tuesday 28 March 2023,Turkiye,Croatia,0,2,FALSE,TRUE
Tuesday 28 March 2023,Wales,Latvia,1,0,TRUE,FALSE
Tuesday 28 March 2023,Switzerland,Israel,3,0,TRUE,FALSE
Tuesday 28 March 2023,Romania,Belarus,2,1,TRUE,FALSE
Tuesday 28 March 2023,Kosovo,Andorra,1,1,FALSE,FALSE
