d,t1,t2,s1,s2,win1,win2
Friday 14 June 2024,Germany,Scotland,5,1,TRUE,FALSE
Saturday 15 June 2024,Hungary,Switzerland,1,3,FALSE,TRUE
Saturday 15 June 2024,Spain,Croatia,3,0,TRUE,FALSE
Saturday 15 June 2024,Italy,Albania,2,1,TRUE,FALSE
Sunday 16 June 2024,Poland,Netherlands,1,2,FALSE,TRUE
Sunday 16 June 2024,Slovenia,Denmark,1,1,FALSE,FALSE
Sunday 16 June 2024,Serbia,England,0,1,FALSE,TRUE
Monday 17 June 2024,Romania,Ukraine,3,0,TRUE,FALSE
Monday 17 June 2024,Belgium,Slovakia,0,1,FALSE,TRUE
Monday 17 June 2024,Austria,France,0,1,FALSE,TRUE
Tuesday 18 June 2024,Turkiye,Georgia,3,1,TRUE,FALSE
Tuesday 18 June 2024,Portugal,Czechia,2,1,TRUE,FALSE
Wednesday 19 June 2024,Croatia,Albania,2,2,FALSE,FALSE
Wednesday 19 June 2024,Germany,Hungary,2,0,TRUE,FALSE
Wednesday 19 June 2024,Scotland,Switzerland,1,1,FALSE,FALSE
Thursday 20 June 2024,Slovenia,Serbia,1,1,FALSE,FALSE
Thursday 20 June 2024,Denmark,England,1,1,FALSE,FALSE
Thursday 20 June 2024,Spain,Italy,1,0,TRUE,FALSE
Friday 21 June 2024,Slovakia,Ukraine,1,2,FALSE,TRUE
Friday 21 June 2024,Poland,Austria,1,3,FALSE,TRUE
Friday 21 June 2024,Netherlands,France,0,0,FALSE,FALSE
Saturday 22 June 2024,Georgia,Czechia,1,1,FALSE,FALSE
Saturday 22 June 2024,Turkiye,Portugal,0,3,FALSE,TRUE
Saturday 22 June 2024,Belgium,Romania,2,0,TRUE,FALSE
Sunday 23 June 2024,Switzerland,Germany,1,1,FALSE,FALSE
Sunday 23 June 2024,Scotland,Hungary,0,1,FALSE,TRUE
Monday 24 June 2024,Albania,Spain,0,1,FALSE,TRUE
Monday 24 June 2024,Croatia,Italy,1,1,FALSE,FALSE
Tuesday 25 June 2024,Netherlands,Austria,2,3,FALSE,TRUE
Tuesday 25 June 2024,France,Poland,1,1,FALSE,FALSE
Tuesday 25 June 2024,England,Slovenia,0,0,FALSE,FALSE
Tuesday 25 June 2024,Denmark,Serbia,0,0,FALSE,FALSE
Wednesday 26 June 2024,Slovakia,Romania,1,1,FALSE,FALSE
Wednesday 26 June 2024,Ukraine,Belgium,0,0,FALSE,FALSE
Wednesday 26 June 2024,Georgia,Portugal,2,0,TRUE,FALSE
Wednesday 26 June 2024,Czechia,Turkiye,1,2,FALSE,TRUE
Saturday 29 June 2024,Switzerland,Italy,2,0,TRUE,FALSE
Saturday 29 June 2024,Germany,Denmark,2,0,TRUE,FALSE
Sunday 30 June 2024,England,Slovakia,2,1,TRUE,FALSE
Sunday 30 June 2024,Spain,Georgia,4,1,TRUE,FALSE
Monday 1 July 2024,France,Belgium,1,0,TRUE,FALSE
Monday 1 July 2024,Portugal,Slovenia,0,0,TRUE,FALSE
Tuesday 2 July 2024,Romania,Netherlands,0,3,FALSE,TRUE
Tuesday 2 July 2024,Austria,Turkiye,1,2,FALSE,TRUE
Friday 5 July 2024,Spain,Germany,2,1,TRUE,FALSE
Friday 5 July 2024,Portugal,France,0,0,FALSE,TRUE
Saturday 6 July 2024,England,Switzerland,1,1,TRUE,FALSE
Saturday 6 July 2024,Netherlands,Turkiye,2,1,TRUE,FALSE
Tuesday 9 July 2024,Spain,France,2,1,TRUE,FALSE
Wednesday 10 July 2024,Netherlands,England,1,2,FALSE,TRUE
Sunday 14 July 2024,Spain,England,2,1,TRUE,FALSE
